keys,en,fr
g_enabled,"Enabled","Activé"
g_disabled,"Disabled","Désactivé"
g_none,"None","Aucune"

lp_light_preview,"Light Source Preview","Aperçu de la source de lumière"

sb_app_settings,"Application Settings","Options de l'Application"
sb_language,"Language","Langue"
sb_max_fps,"Max FPS","IPS Max"
sb_lighting_setup,"Lighting Setup","Configuration d'Éclairage"
sb_vtuber_source,"Vtuber Source","Source du Vtuber"
sb_light_source,"Light Source","Source de l'Éclairage"
sb_lighting_settings,"Lighting Settings","Options de l'Éclairage"
sb_lighting_intensity,"Intensity","Intensité"
sb_help,"Help","Aide"
sb_hint,"Press ""Escape"" to show/hide this window","Appuyez sur ""Echap"" pour fermer/ouvrir cette fenêtre"
sb_perf_mode,"Performance Mode","Mode Performance"
sb_update_check,"Check for Updates","Recherche de Mises à Jour"
sb_new_update,"A new version is available: version ""{new}"" (you have ""{old}"")","Une nouvelle version est disponible: version ""{new}"" (you have ""{old}"")"

tt_light_preview,"Preview of the lighting information projected onto your vtuber model","Aperçu de l'éclairage projeté sur votre modèle vtuber"
tt_max_fps,"Avoid the GPU to render more frames than needed, set this to your stream's FPS","Évite à la carte graphique d'afficher plus d'images que nécéssaire, régler cette option en fonction des images par seconde de votre stream"
tt_perf_mode,"Improve the GPU performance by disabling the previews","Améliore les performances de la carte graphique en désactivant les aperçus"
tt_update_check,"Check if a new update is available when the application starts ","Vérifie si une nouvelle mise à jour est disponible quand l'application démarre"
tt_vtuber_source,"The spout source of your vtuber software (make sure your software supports Spout2 and that the spout sender is enabled)","La source spout de votre logiciel de vtuber (assurez vous que le logiciel supporte Spout2 et que le spout sender est activé)"
tt_light_source,"The spout source of your game/scene sent by OBS using the spout filter (external plugin)","La source spout de votre jeu/scène envoyée par OBS en utilisant le filtre spout (plugin à installer)"
tt_light_intensity,"The amount of light projected onto your vtuber model","La quantité de lumière projectée sur votre model vtuber"

tutorial_p01_01,"Welcome to the tutorial, we are going to setup the software together.\nDon't worry, it's not very hard to setup!\n\n\nFirstly, make sure that your Vtubing software supports Spout2.\n\nIf it doesn't you will have to ""cheat"" with the ""Spout Filter"" in OBS (you can refer to page 5, it works in more or less the same way).\n\nSpeaking of OBS, you need to install a third party plugin to use it, I'll leave a link below:\n","Bienvenue dans le tutoriel, nous allons paramétrer le logiciel ensemble.\nNe vous inquiétez pas, ce n'est pas bien difficile!\n\nTout d'abord, assurez vous que votre logiciel de Vtubing supporte Spout2.\n\nSi ce n'est pas le cas, vous devrez ""tricher"" avec le ""Spout Filter"" dans OBS (vous pouvez vous référer à la page 5, ça fonctionne plus ou moins de la même manière).\n\nD'ailleurs vous devez installer un plugin externe pour OBS, je vous laisse un lien ci-dessous pour vous aider à l'installer:\n"
tutorial_p02_01,"Activate the Spout2 sender in your vtubing software.\n\nHere is how to do it in VSeeFace:","Activez le Spout2 sender dans votre logiciel de vtubing.\n\nVoici comment procéder dans VseeFace:"
tutorial_p03_01,"Here is how to do it in Vtube Studio:\n\n(Settings -> Camera icon)","Voici comment procéder dans Vtube Studio:\n\n(Options -> Icône de caméra)"
tutorial_p04_01,"In VtubeLighting, click on the refresh icon next to ""Vtuber Source"" and select your vtubing software in the list (if not already selected by default).\n\nThis is how it should look:","Dans VtubeLighting, cliquez sur le bouton rafraichir à côté de ""Source du Vtuber"" and sélectionnez votre logiciel de vtubing dans la liste (il est possible qu'il soit sélectionné automatiquement).\n\nÇa devrait ressembler à ça:"
tutorial_p05_01,"Open OBS and add your game to your scene.\n\nRight click on the game source and click ""Filters"".","Ouvre OBS et ajoutez votre jeu dans votre scène.\n\nFaites un clic droit sur la source de jeu et cliquez sur ""Filtres""."
tutorial_p06_01,"It will ask you to enter a name, it doesn't really matter.\nName it if you want to stay organized, otherwise it's totally fine to keep the default name.","Il vous sera demandé d'entrer un nom mais ce n'est pas important.\nVous pouvez donner un nom si vous souhaitez rester organisé, sinon aucun problème avec le nom par défaut."
tutorial_p06_02,"Unlike the previous step this is really important to name it properly.\nSpout names should never be the same, make sure they are unique.\nOnce properly named, press the button:","Par contre, pour la suite il est important de nommer correctement cette source, les noms spout doivent être uniques.\nUne fois renommé, veuillez presser le bouton:"
tutorial_p07_01,"In VtubeLighting, select the newly created Spout sender created in OBS.\n\nThis is what it should look like:","Dans VtubeLighting, sélectionnez le nom que vous avez choisi à l'étape précédente.\n\nÇa devrait ressembler à ça:"
tutorial_p08_01,"On the bottom left you will see a small preview of the game sent by OBS.\n\nIt is heavily blurred and is applied on your vtuber model.","En bas à gauche vous avez un petite prévisualisation du jeu envoyé par OBS.\n\nC'est fortement flouté et sera projeté sur votre modèle vtuber."
tutorial_p08_02,"\nFeel free to play with the intensity slider to control how much of light is projected onto your vtuber model:","\nN'hésitez pas à jouer avec le slider d'intensité qui contrôle la quantité d'éclairage projeté sur votre modèle vtuber."
tutorial_p09_01,"Finally, you need to display your vtuber model with the lighting applied on your stream.\n\nGo back inside OBS, create a new source of type ""Spout2 Capture"" in your scene.","Finalement, vous devez afficher votre model vtuber avec l'éclairage sur votre stream.\n\nPour ce faire, retournez dans OBS et créez une nouvelle source de type ""Spout2 Capture"" dans votre scène."
tutorial_p10_01,"Select ""VtubeLighting"" in ""SpoutSenders"".\n\nSelect ""Default"" in ""Composite mode"", otherwise the background will not be transparent.","Sélectionnez ""VtubeLighting"" dans ""SpoutSenders"".\n\nSélectionnez ""Default"" dans ""Composite mode"", sinon l'arrière plan ne sera pas transparent."
